pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,datetime,aqi,pm25_log,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_roll_mean_3h,pm25_roll_std_3h,pm25_roll_mean_6h,pm25_roll_std_6h,pm25_roll_mean_12h,pm25_roll_std_12h,pm25_roll_mean_24h,pm25_roll_std_24h,pm10_lag_1h,pm10_lag_6h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_6h,carbon_monoxide_lag_1h,carbon_monoxide_lag_6h,wind_x,wind_y,hour_sin,hour_cos,month_sin,month_cos,stagnation_index,is_weekend,temp_diff_24h,hum_diff_24h
19.7,26.0,924.0,41.2,6.8,76.0,29.4,45.0,3.4,360.0,0.0,944.7,2026-06-07 21:00:00,67,3.0301337002713233,2.833213344056216,2.6100697927420065,2.4849066497880004,2.72785282839839,2.681021528714291,3.254242968705492,3.543853682063679,2.824472279023182,0.21016832840757832,2.6981316977495684,0.20203595827600626,2.7088506715091767,0.13916615536416937,2.93463200915615,0.30711155256582373,22.8,26.3,27.1,2.5,944.0,270.0,3.4,-8.327598234202001e-16,-0.7071067811865477,0.7071067811865474,0.49999999999999994,-0.8660254037844387,0.6886667500616643,1,2.799999999999997,-14.0
27.4,33.4,802.0,57.1,7.3,44.0,28.0,51.0,2.1,15.0,0.0,944.6,2026-06-07 22:00:00,83,3.3463891451671604,3.0301337002713233,2.833213344056216,2.6100697927420065,2.681021528714291,2.667228206581955,3.3178157727231046,3.5115454388310208,3.069912063164901,0.2588901105244005,2.809026300491713,0.33173842856276164,2.765447416391277,0.22949034129404416,2.9358225663413187,0.3087128084064662,26.0,25.8,41.2,2.6,924.0,252.0,2.0284442352070435,0.5435199947152936,-0.5000000000000004,0.8660254037844384,0.49999999999999994,-0.8660254037844387,1.0794803694087614,1,2.6000000000000014,-10.0
32.1,37.0,659.0,65.3,7.3,24.0,27.7,52.0,2.3,18.0,0.0,944.3,2026-06-07 23:00:00,93,3.4995332823830174,3.3463891451671604,3.0301337002713233,2.833213344056216,2.5494451709255714,2.681021528714291,3.4531571205928664,3.4781584227982836,3.2920187092738336,0.23937648202378192,2.967374319067954,0.4022996107922884,2.833656729197004,0.3097283543126532,2.937754906415909,0.31221702816473507,33.4,21.1,57.1,4.4,802.0,305.0,2.1874299874788528,0.710739087062379,-0.25881904510252157,0.9659258262890681,0.49999999999999994,-0.8660254037844387,1.0604646310251569,1,1.1999999999999993,4.0
28.6,31.8,500.0,59.8,6.5,25.0,26.5,53.0,2.6,16.0,0.0,943.5,2026-06-08 00:00:00,86,3.3877743613300146,3.4995332823830174,3.3463891451671604,3.0301337002713233,2.4849066497880004,2.7212954278522306,3.4688560301359703,3.40452517175483,3.4112322629600644,0.07922112440859228,3.117852270991623,0.3513756803652748,2.8891966403201526,0.345444811483222,2.934376503548993,0.30660859138751034,37.0,20.0,65.3,9.7,659.0,505.0,2.499280409439629,0.7166571251241979,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.9410484337027818,0,1.0,3.0
24.2,26.5,320.0,46.6,5.2,37.0,26.6,50.0,3.2,360.0,0.0,943.2,2026-06-08 01:00:00,76,3.2268439945173775,3.3877743613300146,3.4995332823830174,3.3463891451671604,2.6100697927420065,2.760009940032921,3.3877743613300146,3.299533727885655,3.371383879410137,0.13708153724095212,3.220647971287518,0.24817685562705225,2.9280994781938574,0.35570782933050515,2.9276710715984673,0.29789782019723354,31.8,19.8,59.8,17.5,500.0,776.0,3.2,-7.837739514543061e-16,0.25881904510252074,0.9659258262890683,0.49999999999999994,-0.8660254037844387,0.7682961891708041,0,1.5,1.0
20.1,21.8,193.0,35.2,4.2,47.0,26.7,44.0,4.2,329.0,0.0,942.7,2026-06-08 02:00:00,68,3.0492730404820207,3.2268439945173775,3.3877743613300146,3.4995332823830174,2.833213344056216,2.760009940032921,3.2733640101522705,3.2068032436339315,3.2212971321098043,0.16931881707561872,3.256657920691819,0.1894424641619635,2.9522047365646156,0.3530728531443247,2.9183339478622066,0.28999869755018337,26.5,22.8,46.6,27.1,320.0,944.0,3.600102662948871,-2.163159914622229,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,0.5863986616311578,0,2.1999999999999993,-6.0
16.5,17.9,135.0,28.8,3.5,47.0,26.3,42.0,3.5,309.0,0.0,942.6,2026-06-08 03:00:00,60,2.8622008809294686,3.0492730404820207,3.2268439945173775,3.3877743613300146,3.0301337002713233,2.72785282839839,3.1612467120315646,3.1354942159291497,3.046105971976289,0.1823421860512895,3.228669117468176,0.23623087490181963,2.9634004076088725,0.34739650317913573,2.9058737048996193,0.28549733508638714,21.8,26.0,35.2,41.2,193.0,924.0,2.202621368674431,-2.7200108650993977,0.7071067811865475,0.7071067811865476,0.49999999999999994,-0.8660254037844387,0.6360446402065486,0,2.3000000000000007,-9.0
14.0,15.1,129.0,24.1,2.9,44.0,25.6,41.0,2.7,323.0,0.0,942.5,2026-06-08 04:00:00,55,2.70805020110221,2.8622008809294686,3.0492730404820207,3.2268439945173775,3.3463891451671604,2.681021528714291,3.0633909220278057,3.086486636822455,2.873174707504567,0.1708759057938909,3.1222792934573516,0.3060386951098472,2.9656527969745325,0.34548156801971674,2.8910678415277196,0.28618647695782634,17.9,33.4,28.8,57.1,135.0,802.0,2.1563158771276907,-1.6249005625105304,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.731905459757354,0,2.0,-10.0
13.7,14.6,200.0,20.6,3.4,50.0,25.5,50.0,0.5,45.0,0.0,942.9,2026-06-08 05:00:00,54,2.6878474937846906,2.70805020110221,2.8622008809294686,3.0492730404820207,3.4995332823830174,2.5494451709255714,3.250374491927572,3.0492730404820207,2.752699525272123,0.09536743424167123,2.9869983286909636,0.28457097334775333,2.9771863238794585,0.33238578131711416,2.8676292166050996,0.27840965063609396,15.1,37.0,24.1,65.3,129.0,659.0,0.3535533905932738,0.35355339059327373,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,1.7918983291897936,0,2.1000000000000014,-6.0
13.1,13.9,431.0,19.6,5.1,69.0,26.2,53.0,0.8,27.0,0.0,943.2,2026-06-08 06:00:00,53,2.6461747973841225,2.6878474937846906,2.70805020110221,2.8622008809294686,3.3877743613300146,2.4849066497880004,3.1135153092103742,3.039749158970765,2.6806908307570083,0.031552412991576045,2.8633984013666485,0.23185374411794454,2.9906253361791357,0.3133898896625507,2.848156695279006,0.2768028856990905,14.6,31.8,20.6,59.8,200.0,500.0,0.7128052193506944,0.3631923997916374,1.0,6.123233995736766e-17,0.49999999999999994,-0.8660254037844387,1.470097109657846,0,1.5999999999999979,0.0
